A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
R02AA06	tsetüülpüridiinkloriid	Cetylpyridinium chloride
R02AA09	bensetooniumkloriid	Benzethonium chloride
R02AA11	kloorkvinaldool	Chlorquinaldol
R02AA12	heksüülresortsinool	Hexylresorcinol
R02AA13	akriflaviinkloriid	Acriflavinium chloride
R02AA15	joodpovidoon	Povidone, iodinated
R02AA16	bensalkooniumkloriid	Benzalkonium chloride
R02AA79	bensoksooniumkloriid+lidokaiin	Benzoxonium chloride+Lidocaine
R02AA80	jood+kaaliumjodiid+glütserool	Iodine+Potassium iodide+Glycerol
R02AA81	diklorobensüülalkohol+askorbiinhape	Dichlorobenzyl alcohol+Ascorbic acid
R02AA82	klorobutanool	Chlorobutanol
R02AA83	kloorheksidiin+bensokaiin	Chlorhexidine+Benzocaine
R02AA84	dekvaliin+tsetüülpüridiinkloriid+askorbiinhape	Dequalinium+Cetylpyridinium chloride+Ascorbic acid
R02AA86	heksüülresortsinool+bensalkooniumkloriid	Hexylresorcinol+Benzalkonium chloride
R02AA87	kloorheksidiin+tetrakaiin+askorbiinhape	Chlorhexidine+Tetracaine+Ascorbic acid
R02AA88	propoksübenseen	Propoxybenzen
R02AA89	joodpovidoon+allantoiin	Povidone, iodinated+Allantoin
R02AA90	tsetüülpüridiinkloriid	Cetylpyridinium chloride
R02AA91	klorobutanool	Chlorobutanol
R02AA92	dekvaliin+tsinhokaiin	Dequalinium+Cinchocaine
R02AA93	klorobutanool+mentool+kamper+eukalüptiõli	Chlorobutanol+Menthol+Camphor+Eucalyptus oil
R02AA94	amüülmetakresool+diklorobensüülalkohol	Amylmetacresol+Dichlorobenzyl alcohol
R02AA95	amüülmetakresool+diklorobensüülalkohol+levomentool	Amylmetacresol+Dichlorobenzyl alcohol+Levomenthol
R02AA96	amüülmetakresool+diklorobensüülalkohol+askorbiinhape	Amylmetacresol+Dichlorobenzyl alcohol+Ascorbic acid
R02AA97	diklorobensüülalkohol+naatriumbensoaat	Dichlorobenzyl alcohol+Sodium benzoate
R02AA98	tsetüülpüridiinkloriid+bensokaiin	Cetylpyridinium chloride+Benzocaine
R02AA99	bensalkooniumkloriid+eukalüptiõli+levomentool+piparmündiõli+tümool	Benzalkonium chloride+Eucalyptus oil+Levomenthol+Peppermint oil+Thymol
R02AB	Antibiootikumid	Antibiotics
R02AB01	neomütsiin	Neomycin
R02AB02	türotritsiin	Tyrothricin
R02AB03	fusafungiin	Fusafungine
R02AB04	batsitratsiin	Bacitracin
R02AB30	gramitsidiin	Gramicidin
R02AB80	türotritsiin+lidokaiin+tsetrimooniumbromiid	Tyrothricin+Lidocaine+Cetrimonium bromide
R02AD	Lokaalanesteetikumid	Anesthetics, local
R02AD01	bensokaiin	Benzocaine
R02AD02	lidokaiin	Lidocaine
R02AD80	lidokaiin+propüülparahüdroksübensoaat	Lidocaine+Propyl parahydroxybenzoate
R02AD81	bensokaiin+mentool	Benzocaine+Menthol
R02AX	Teised kurguhaiguste raviks kasutatavad preparaadid	Other throat preparations
R02AX01	flurbiprofeen	Flurbiprofen
R02AX80	aed-liivatee ürt+aedsalvei leht	Thyme herb+Sage leaf
R03	HINGAMISTEEDE OBSTRUKTIIVSETE HAIGUSTE RAVIKS KASUTATAVAD AINED	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03A	INHALEERITAVAD ADRENERGILISED AINED	ADRENERGICS, INHALANTS
R03AA	Alfa- ja beetaadrenomimeetikumid	Alpha- and beta-adrenoceptor agonists
R03AA01	epinefriin (adrenaliin)	Epinephrine
R03AA01	epinefriin (adrenaliin)	Epinephrine
R03AB	Mitteselektiivsed beetaadrenomimeetikumid	Non-selective beta-adrenoceptor agonists
R03AB02	isoprenaliin	Isoprenaline
R03AB03	ortsiprenaliin	Orciprenaline
R03AC	Selektiivsed beeta-2-adrenomimeetikumid	Selective beta-2-adrenoceptor agonists
R03AC02	salbutamool	Salbutamol
R03AC03	terbutaliin	Terbutaline
R03AC04	fenoterool	Fenoterol
R03AC05	rimiterool	Rimiterol
R03AC06	heksoprenaliin	Hexoprenaline
R03AC07	isoetariin	Isoetarine
R03AC08	pirbuterool	Pirbuterol
R03AC09	tretokvinool	Tretoquinol
R03AC10	karbuterool	Carbuterol
R03AC11	tulobuterool	Tulobuterol
R03AC12	salmeterool	Salmeterol
R03AC13	formoterool	Formoterol
R03AC14	klenbuterool	Clenbuterol
R03AC15	reproterool	Reproterol
R03AC16	prokaterool	Procaterol
R03AC17	bitolterool	Bitolterol
R03AC18	indakaterool	Indacaterol
R03AC81	olodaterool	Olodaterol
R03AH	Adrenergiliste ainete kombinatsioonid	Combinations of adrenergics
R03AK	Adrenergilised ja teised hingamisteede obstruktiivsete haiguste raviks kasutatavad ained	Adrenergics and other drugs for obstructive airway diseases
R03AK00	fenoterool	Fenoterol
R03AK80	fenoterool+ipratroopiumbromiid	Fenoterol+Ipratropium bromide
R03AK81	salbutamool+ipratroopiumbromiid	Salbutamol+Ipratropium bromide
R03AK82	salmeterool+flutikasoon	Salmeterol+Fluticasone
R03AK83	formoterool+budesoniid	Formoterol+Budesonide
R03AK84	formoterool+beklometasoon	Formoterol+Beclometasone
R03AK85	salbutamool+kromoglütsiinhape	Salbutamol+Cromoglicic acid
R03B	TEISED INHALEERITAVAD HINGAMISTEEDE OBSTRUKTIIVSETE HAIGUSTE RAVIKS KASUTATAVAD AINED	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS
R03BA	Glükokortikoidid	Glucocorticoids
R03BA01	beklometasoon	Beclometasone
R03BA02	budesoniid	Budesonide
R03BA03	flunisoliid	Flunisolide
R03BA04	beetametasoon	Betamethasone
R03BA05	flutikasoon	Fluticasone
R03BA06	triamtsinoloon	Triamcinolone
R03BA07	mometasoon	Mometasone
R03BA08	tsiklesoniid	Ciclesonide
R03BB	Antikolinergilised ained	Anticholinergics
R03BB01	ipratroopiumbromiid	Ipratropium bromide
R03BB02	oksütroopiumbromiid	Oxitropium bromide
R03BB04	tiotroopiumbromiid	Tiotropium bromide
R03BB05	aklidiinbromiid	aclidinium bromide
R03BB06	glükopürroonbromiid	Glycopyrronium bromide
R03BC	Antiallergilised ained, v.a kortikosteroidid	Antiallergic agents, excl. corticosteroids
R03BC01	kromoglütsiinhape	Cromoglicic acid
R03BC03	nedokromiil	Nedocromil
R03BX	Teised hingamisteede obstruktiivsete haiguste raviks kasutatavad inhaleeritavad ained	Other drugs for obstructive airway diseases, inhalants
R03BX01	fenspiriid	Fenspiride
R03C	ADRENERGILISED AINED SÜSTEEMSEKS KASUTAMISEKS	ADRENERGICS FOR SYSTEMIC USE
R03CA	Alfa- ja beetaadrenomimeetikumid	Alpha- and beta-adrenoceptor agonists
R03CB	Mitteselektiivsed beetaadrenomimeetikumid	Non-selective beta-adrenoceptor agonists
R03CB01	isoprenaliin	Isoprenaline
R03CB02	metoksüfenamiin	Methoxyphenamine
R03CB03	ortsiprenaliin	Orciprenaline
R03CC	Selektiivsed beeta-2-adrenomimeetikumid	Selective beta-2-adrenoceptor agonists
R03CC02	salbutamool	Salbutamol
R03CC03	terbutaliin	Terbutaline
R03CC04	fenoterool	Fenoterol
R03CC05	heksoprenaliin	Hexoprenaline
R03CC06	isoetariin	Isoetarine
R03CC07	pirbuterool	Pirbuterol
R03CC08	prokaterool	Procaterol
R03CC09	tretokvinool	Tretoquinol
R03CC10	karbuterool	Carbuterol
R03CC11	tulobuterool	Tulobuterol
R03CC12	bambuterool	Bambuterol
R03CC13	klenbuterool	Clenbuterol
R03CC14	reproterool	Reproterol
R03CC80	terbutaliin+guaifenesiin	Terbutaline+Guaifenesin
R03CK	Adrenergilised ja teised hingamisteede obstruktiivsete haiguste raviks kasutatavad ained	Adrenergics and other drugs for obstructive airway diseases
R03D	TEISED SÜSTEEMSED HINGAMISTEEDE OBSTRUKTIIVSETE HAIGUSTE RAVIKS KASUTATAVAD AINED	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA	Ksantiinid	Xanthines
R03DA00	PUUDU_EESTI	PUUDU_INGLISE
R03DA01	diprofülliin	Diprophylline
R03DA02	koliinteofüllinaat	Choline theophyllinate
R03DA03	proksüfülliin	Proxyphylline
R03DA04	teofülliin	Theophylline
R03DA05	aminofülliin	Aminophylline
R03DA06	etamifülliin	Etamiphylline
R03DA07	teobromiin	Theobromine
R03DA08	bamifülliin	Bamifylline
R03DA09	atsefülliinpiperasiin	Acefylline piperazine
R03DA11	doksofülliin	Doxofylline
R03DA74	teofülliin kombinatsioonis psühhotroopsetega	Theophylline, combinations with psycholeptics
R03DA80	teofülliin+fenobarbitaal+efedriin+paratsetamool+kofeiin+belladonnaekstrakt+tsütisiin	Theophylline+Phenobarbital+Ephedrine+Paracetamol+Caffeine+Extract of Belladonna+Cytisine
R03DB	Ksantiinid ja adrenergilised ained	Xanthines and adrenergics
R03DC	Leukotrieeniretseptorite antagonistid	Leukotriene receptor antagonists
R03DC01	zafirlukast	Zafirlukast
R03DC02	pranlukast	Pranlukast
R03DC03	montelukast	Montelukast
R03DC04	ibudilast	Ibudilast
R03DX	Teised süsteemse toimega hingamisteede obstruktiivsete haiguste raviks kasutatavad ained	Other systemic drugs for obstructive airway diseases
R03DX01	amleksanoks	Amlexanox
R03DX02	eprosinool	Eprozinol
R03DX03	fenspiriid	Fenspiride
R03DX05	omalizumab	Omalizumab
R03DX07	roflumilast	Roflumilast
R05	KÖHA JA KÜLMETUSE KORRAL KASUTATAVAD PREPARAADID	COUGH AND COLD PREPARATIONS
R05C	EKSPEKTORANDID, V.A KOMBINATSIOONID KÖHA PÄRSSIVATE AINETEGA	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS
R05CA	Ekspektorandid	Expectorants
R05CA01	tüloksapool	Tyloxapol
R05CA02	kaaliumjodiid	Potassium iodide
R05CA03	guaifenesiin	Guaifenesin
R05CA04	ipekakuanja tsefaeel	Ipecacuanha
R05CA12	luuderohuleht	Hederae helicis folium
R05CA80	terpiinhüdraat	Terpin hydrate
R05CA81	terpiinhüdraat+naatriumvesinikkarbonaat	Terpin hydrate+Sodium hydrogen carbonate
R05CA82	lagritsa-magusjuure ekstrakt	Extr. Glycyrrhizae
R05CA83	ammoniaak+lagritsa-magusjuure ekstrakt+aniisiõli	Ammonia+Extr. Glycyrrhizae+Anise oil
R05CA85	lavendliõli	Lavender oil
R05CA86	islandi käokõrv	Iceland moss
R05CA87	mürtool, standardiseeritud	Myrtol standardized
R05CA88	aed-liivatee ürt+nõmm-liivatee+teeleht	Thyme herb+nõmm-liivatee+teeleht
R05CA89	aed-liivatee ürt+luuderohuleht	Thyme herb+Hederae helicis folium
R05CA90	aed-liivatee ürt+nurmenukujuur	Thyme herb+nurmenukujuur
R05CA91	aed-liivatee ürt+alteejuur	Thyme herb+Marshmallow root
R05CA92	aed-liivatee ürt	Thyme herb
R05CB	Mukolüütilised ained	Mucolytics
R05CB01	atsetüültsüsteiin	Acetylcysteine
R05CB02	broomheksiin	Bromhexine
R05CB03	karbotsüsteiin	Carbocisteine
R05CB04	eprasinoon	Eprazinone
R05CB05	mesna	Mesna
R05CB06	ambroksool	Ambroxol
R05CB08	domiodool	Domiodol
R05CB09	letosteiin	Letosteine
R05CB11	steproniin	Stepronin
R05CB12	tioproniin	Tiopronin
R05CB13	alfadornaas	Dornase alfa
R05CB14	nelteneksiin	Neltenexine
R05CB15	erdosteiin	Erdosteine
R05CB16	mannitool	Mannitol
R05D	KÖHA PÄRSSIVAD AINED, V.A KOMBINATSIOONID EKSPEKTORANTIDEGA	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS
R05DA	Oopiumi alkaloidid ja nende derivaadid	Opium alkaloids and derivatives
R05DA01	etüülmorfiin	Ethylmorphine
R05DA03	hüdrokodoon	Hydrocodone
R05DA04	kodeiin	Codeine
R05DA06	normetadoon	Normethadone
R05DA07	noskapiin	Noscapine
R05DA08	folkodiin	Pholcodine
R05DA09	dekstrometorfaan	Dextromethorphan
R05DA10	tebakoon	Thebacon
R05DA11	dimemorfaan	Dimemorfan
R05DA80	kodeiin+fenüültoloksamiin	Codeine+Phenyltoloxamine
R05DA82	pseudoefedriin+dekstrometorfaan+kloorfenamiin	Pseudoephedrine+Dextromethorphan+Chlorphenamine
R05DA83	kodeiin+fenüülefriin+fenüülpropanoolamiin+guaifenesiin+broomfeniramiin	Codeine+Phenylephrine+Phenylpropanolamine+Guaifenesin+Brompheniramine
R05DA88	glautsiin+efedriin	Glaucine+Ephedrine
R05DA89	dekstrometorfaan+fenüülefriin+feniramiin	Dextromethorphan+Phenylephrine+Pheniramine
R05DB	Teised köha pärssivad ained	Other cough suppressants
R05DB01	bensonataat	Benzonatate
R05DB02	benproperiin	Benproperine
R05DB03	klobutinool	Clobutinol
R05DB04	isoaminiil	Isoaminile
R05DB05	pentoksüveriin	Pentoxyverine
R05DB07	oksolamiin	Oxolamine
R05DB09	okseladiin	Oxeladin
R05DB10	klofedanool	Clofedanol
R05DB11	pipasetaat	Pipazetate
R05DB12	bibensooniumbromiid	Bibenzonium bromide
R05DB13	butamiraat	Butamirate
R05DB14	fedrilaat	Fedrilate
R05DB15	zipeprool	Zipeprol
R05DB16	dibunaat	Dibunate
R05DB17	droksüpropiin	Droxypropine
R05DB18	prenoksdiasiin	Prenoxdiazine
R05DB19	dropropisiin	Dropropizine
R05DB21	kloperastiin	Cloperastine
R05DB22	meprotiksool	Meprotixol
R05DB24	tipepidiin	Tipepidine
R05DB25	morklofoon	Morclofone
R05DB26	nepinaloon	Nepinalone
R05DB27	levodropropisiin	Levodropropizine
R05F	KÖHA PÄRSSIVATE AINETE JA EKSPEKTORANTIDE KOMBINATSIOONID	COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS
R05FA	Oopiumi derivaadid ja ekspektorandid	Opium derivatives and expectorants
R05FA02	kodeiin+naatriumvesinikkarbonaad+terpiinhüdraat	Codeine+NaHCO3+terpini hydratum
R05FA06	noskapiin+terpiinhüdraat	Noscapine+Terpin hydrate
R05FA80	kodeiin+guaifenesiin	Codeine+Guaifenesin
R05FB	Teised köha pärssivad ained ja ekspektorandid	Other cough suppressants and expectorants
R05X	TEISED PREPARAADID KÜLMETUSE LEEVENDAMISEKS	OTHER COLDPREPARATIONS
R05XA	Teised kombineeritud preparaadid külmetuse leevendamiseks	Other cold combination preparations
R05XA80	emajuurejuur+nurmenukuõis+hapu oblikas+leedriõis+raudürdiürt	Gentian root+nurmenukuõis+hapu oblikas+Elder flower+raudürdiürt
R05XA81	kamper+levomentool+tärpentiniõli+eukalüptiõli	Camphor+Levomenthol+Turpentine oil+Eucalyptus oil
R05XA82	ibuprofeen+pseudoefedriin	Ibuprofen+Pseudoephedrine
R06	ANTIHISTAMIINSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIHISTAMINES FOR SYSTEMIC USE
R06A	ANTIHISTAMIINSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIHISTAMINES FOR SYSTEMIC USE
R06AA	Aminoalküüleetrid	Aminoalkyl ethers
R06AA01	bromasiin	Bromazine
R06AA02	difenhüdramiin	Diphenhydramine
R06AA04	klemastiin	Clemastine
R06AA07	difenüülpüraliin	Diphenylpyraline
R06AA08	karbinoksamiin	Carbinoxamine
R06AA54	klemastiin	Clemastine
R06AA57	difenüülpüraliin	Diphenylpyraline
R06AA80	difenhüdramiin+dekstrometorfaan	Diphenhydramine+Dextromethorphan
R06AA82	dimenhüdrinaat	Dimenhydrinate
R06AB	Alküülamiinide derivaadid	Substituted alkylamines
R06AB01	broomfeniramiin	Brompheniramine
R06AB02	dekskloorfeniramiin	Dexchlorpheniramine
R06AB03	dimetindeen	Dimetindene
R06AB04	kloorfenamiin	Chlorphenamine
R06AB05	feniramiin	Pheniramine
R06AB06	deksbroomfeniramiin	Dexbrompheniramine
R06AB81	broomfeniramiin+fenüülefriin	Brompheniramine+Phenylephrine
R06AB83	broomfeniramiin+fenüülpropanoolamiin	Brompheniramine+Phenylpropanolamine
R06AC	Etüleendiamiinide derivaadid	Substituted ethylene diamines
R06AC01	mepüramiin	Mepyramine
R06AC02	histapürrodiin	Histapyrrodine
R06AC03	kloropüramiin	Chloropyramine
R06AC04	tripelennamiin	Tripelennamine
R06AC05	metapürileen	Methapyrilene
R06AD	Fenotiasiini derivaadid	Phenothiazine derivatives
R06AD01	alimemasiin	Alimemazine
R06AD02	prometasiin	Promethazine
R06AD03	tietüülperasiin	Thiethylperazine
R06AD04	metdilasiin	Methdilazine
R06AD06	tiasinamiummetüülsulfaat	Thiazinamium metilsulfate
R06AD07	mekvitasiin	Mequitazine
R06AD08	oksomemasiin	Oxomemazine
R06AD09	isotipendüül	Isothipendyl
R06AD80	prometasiin+guaifenesiin+oksejuure vedelekstrakt	Promethazine+Guaifenesin+Extr. Ipecacuanha liquidum
R06AE	Piperasiini derivaadid	Piperazine derivatives
R06AE01	buklisiin	Buclizine
R06AE03	tsüklisiin	Cyclizine
R06AE04	kloortsüklisiin	Chlorcyclizin
R06AE05	meklosiin	Meclozine
R06AE06	oksatomiid	Oxatomide
R06AE07	tsetirisiin	Cetirizine
R06AE09	levotsetirisiin	Levocetirizine
R06AE53	tsüklisiin	Cyclizine
R06AK	Antihistamiinsete ainete kombinatsioonid	Combinations of antihistamines
R06AX	Teised antihistamiinsed ained süsteemseks kasutamiseks	Other antihistamines for systemic use
R06AX01	bamipiin	Bamipine
R06AX02	tsüproheptadiin	Cyproheptadine
R06AX03	tenalidiin	Thenalidine
R06AX04	fenindamiin	Phenindamine
R06AX05	antasoliin	Antazoline
R06AX07	triprolidiin	Triprolidine
R06AX09	asatadiin	Azatadine
R06AX11	astemisool	Astemizole
R06AX12	terfenadiin	Terfenadine
R06AX13	loratadiin	Loratadine
R06AX15	mebhüdroliin	Mebhydrolin
R06AX16	deptropiin	Deptropine
R06AX17	ketotifeen	Ketotifen
R06AX18	akrivastiin	Acrivastine
R06AX19	aselastiin	Azelastine
R06AX21	tritokvaliin	Tritoqualine
R06AX22	ebastiin	Ebastine
R06AX23	pimetikseen	Pimethixene
R06AX24	epinastiin	Epinastine
R06AX25	misolastiin	Mizolastine
R06AX26	feksofenadiin	Fexofenadine
R06AX27	desloratadiin	Desloratadine
R06AX28	rupatadiin	Rupatadine
R06AX29	bilastiin	Bilastine
R06AX31	kvifenadiin	Quifenadine
R07	TEISED HINGAMISSÜSTEEMI TOIMIVAD AINED	OTHER RESPIRATORY SYSTEM PRODUCTS
R07A	TEISED HINGAMISSÜSTEEMI TOIMIVAD AINED	OTHER RESPIRATORY SYSTEM PRODUCTS
R07AA	Kopsu surfaktandid	Lung surfactants
R07AA01	kolfostseriilpalmitaat	Colfosceril palmitate
R07AA30	kombinatsioonid	Combinations
R07AA80	veise kopsu fosfolipiidid	Bovine lung phospholipids
R07AA81	sea kopsu fosfolipiidid	Porcine lung phospholipids
R07AB	Hingamisteede stimulaatorid	Respiratory stimulants
R07AB01	doksapraam	Doxapram
R07AB02	niketamiid	Nikethamide
R07AB03	pentetrasool	Pentetrazol
R07AB04	etamivaan	Etamivan
R07AB05	bemegriid	Bemegride
R07AB07	almitriin	Almitrine
R07AB08	dimefliin	Dimefline
R07AB09	mepiksanoks	Mepixanox
R07AB52	niketamiid	Nikethamide
R07AB53	pentetrasool	Pentetrazol
R07AX	Teised hingamissüsteemi toimivad ained	Other respiratory system products
R07AX01	lämmastikoksiid	Nitric oxide
R07AX02	ivakaftoor	ivacaftor
R07AX80	bakterkultuur	Bacterial culture
R07AX81	naatriumkolistiinmetaat	Colistimethate sodium
S	MEELEELUNDID	SENSORY ORGANS
S01	OFTALMOLOOGIAS KASUTATAVAD AINED	OPHTHALMOLOGICALS
S01A	INFEKTSIOONIVASTASED AINED	ANTIINFECTIVES
S01AA	Antibiootikumid	Antibiotics
S01AA01	klooramfenikool	Chloramphenicol
S01AA02	kloortetratsükliin	Chlortetracycline
S01AA03	neomütsiin	Neomycin
S01AA04	oksütetratsükliin	Oxytetracycline
S01AA05	türotritsiin	Tyrothricin
S01AA07	framütsetiin	Framycetin
S01AA09	tetratsükliin	Tetracycline
S01AA10	natamütsiin	Natamycin
S01AA11	gentamütsiin	Gentamicin
S01AA12	tobramütsiin	Tobramycin
S01AA13	fusidiinhape	Fusidic acid
S01AA14	bensüülpenitsilliin	Benzylpenicillin
S01AA15	dihüdrostreptomütsiin	Dihydrostreptomycin
S01AA16	rifamütsiin	Rifamycine
S01AA17	erütromütsiin	Erythromycin
S01AA18	polümüksiin B	Polymyxin B
S01AA19	ampitsilliin	Ampicillin
S01AA21	amikatsiin	Amikacin
S01AA22	mikronomütsiin	Micronomicin
S01AA23	netilmitsiin	Netilmicin
S01AA24	kanamütsiin	Kanamycin
S01AA25	asiidamfenikool	Azidamfenicol
S01AA80	polümüksiin B+klooramfenikool	Polymyxin B+Chloramphenicol
S01AA81	polümüksiin B+neomütsiin+gramitsidiin	Polymyxin B+Neomycin+Gramicidin
S01AB	Sulfoonamiidid	Sulfonamides
S01AB01	sulfametisool	Sulfamethizole
S01AB02	sulfafurasool	Sulfafurazole
S01AB03	sulfadikramiid	Sulfadicramide
S01AB04	sulfatsetamiid	Sulfacetamide
S01AB05	sulfafenasool	Sulfaphenazole
S01AD	Viirusvastased ained	Antivirals
S01AD01	idoksuridiin	Idoxuridine
S01AD02	trifluridiin	Trifluridine
S01AD03	atsikloviir	Aciclovir
S01AD06	vidarabiin	Vidarabine
S01AD07	famtsikloviir	Famciclovir
S01AE	Fluorokinoloonid	Fluoroquinolones
S01AE01	ofloksatsiin	Ofloxacin
S01AE02	norfloksatsiin	Norfloxacin
S01AE03	tsiprofloksatsiin	Ciprofloxacin
S01AE04	lomefloksatsiin	Lomefloxacin
S01AE05	levofloksatsiin	Levofloxacin
S01AE07	moksifloksatsiin	Moxifloxacin
S01AX	Teised infektsioonivastased preparaadid	Other antiinfectives
S01AX04	nitrofuraal	Nitrofural
S01AX05	bibrokatool	Bibrocathol
S01AX06	resortsinool	Resorcinol
S01AX08	heksamidiin	Hexamidine
S01AX09	kloorheksidiin	Chlorhexidine
S01AX10	naatriumpropionaat	Sodium propionate
S01AX14	dibrompropamidiin	Dibrompropamidine
S01AX15	propamidiin	Propamidine
S01AX16	pikloksüdiin	Picloxydine
S01B	PÕLETIKUVASTASED AINED	ANTIINFLAMMATORY AGENTS
S01BA	Kortikosteroidid	Corticosteroids, plain
S01BA01	deksametasoon	Dexamethasone
S01BA02	hüdrokortisoon	Hydrocortisone
S01BA03	kortisoon	Cortisone
S01BA04	prednisoloon	Prednisolone
S01BA05	triamtsinoloon	Triamcinolone
S01BA06	beetametasoon	Betamethasone
S01BA07	fluorometoloon	Fluorometholone
S01BA08	medrüsoon	Medrysone
S01BA09	klobetasoon	Clobetasone
S01BA10	alklometasoon	Alclometasone
S01BA11	desoniid	Desonide
S01BA12	formokortaal	Formocortal
S01BA13	rimeksoolon	Rimexolone
S01BA14	loteprednool	Loteprednol
S01BA80	masipredoon	Mazipredone
S01BB	Kortikosteroidide ja müdriaatikumide kombinatsioonid	Corticosteroids and mydriatics in combination
S01BC	Mittesteroidsed põletikuvastased ained	Antiinflammatory agents, non-steroids
S01BC01	indometatsiin	Indometacin
S01BC02	oksüfenbutasoon	Oxyphenbutazone
S01BC03	diklofenak	Diclofenac
S01BC04	flurbiprofeen	Flurbiprofen
S01BC05	ketorolak	Ketorolac
S01BC06	piroksikaam	Piroxicam
S01BC07	bendasak	Bendazac
S01BC08	salitsüülhape	Salicylic acid
S01BC10	nepafenak	Nepafenac
S01BC11	bromofenak	Bromfenac
S01C	PÕLETIKU- JA INFEKTSIOONIVASTASTE AINETE KOMBINATSIOONID	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01CA	Kortikosteroidide ja infektsioonivastaste ainete kombinatsioonid	Corticosteroids and antiinfectives in combination
S01CA80	deksametasoon+neomütsiin+polümüksiin B	Dexamethasone+Neomycin+Polymyxin B
S01CA81	deksametasoon+tobramütsiin	Dexamethasone+Tobramycin
S01CA82	deksametasoon+klooramfenikool	Dexamethasone+Chloramphenicol
S01CA83	prednisoloon+neomütsiin	Prednisolone+Neomycin
S01CB	Kortikosteroidide, infektsioonivastaste ainete ja müdriaatikumide kombinatsioonid	Corticosteroids/antiinfectives/mydriatics in combination
S01CB01	deksametasoon	Dexamethasone
S01CB02	prednisoloon	Prednisolone
S01CB03	hüdrokortisoon	Hydrocortisone
S01CB04	beetametasoon	Betamethasone
S01CB05	fluorometoloon	Fluorometholone
S01CC	Mittesteroidsete põletiku- ja infektsioonivastaste ainete kombinatsioonid	Antiinflammatory agents, non-steroids and antiinfectives in combination
S01E	GLAUKOOMIVASTASED PREPARAADID JA MIOOTIKUMID	ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01EA	Sümpatomimeetikumid glaukoomi raviks	Sympathomimetics in glaucoma therapy
S01EA02	dipivefriin	Dipivefrine
S01EA03	apraklonidiin	Apraclonidine
S01EA04	klonidiin	Clonidine
S01EA05	brimonidiin	Brimonidine
S01EB	Parasümpatomimeetikumid	Parasympathomimetics
S01EB01	pilokarpiinvesinikkloriid	Pilocarpine hydrochloride
S01EB02	karbakool	Carbachol
S01EB03	ekotiopaatjodiid	Ecothiopate iodide
S01EB04	demekaariumbromiid	Demecarium bromide
